"X1" "X2" "Y"
"1" -0.3100139 -1.3761815 -1
"2" -0.62290155 1.239898 -1
"3" -1.2275879 -0.80588086 1
"4" 2.2014595 -0.66499005 -1
"5" 0.84067748 -0.077637743 1
"6" 0.72133802 0.73052054 -1
"7" 0.37785249 -0.060949053 1
"8" -0.21243179 -1.1801418 -1
"9" 1.6108495 -0.38682937 -1
"10" 0.62866622 -0.61680695 1
"11" 1.7861591 -0.1015555 -1
"12" 0.52303484 -1.3834732 -1
"13" 0.92763843 -0.10172408 1
"14" -0.48364576 0.61475387 1
"15" -0.75218869 0.34159613 1
"16" -0.14530926 1.6736385 -1
"17" 0.70720957 0.94767162 -1
"18" -0.41165656 -0.68893372 -1
"19" -1.6731299 0.67211691 -1
"20" 0.2915667 -0.15851739 1
"21" -0.5903235 -1.0413641 -1
"22" 2.2699267 0.28397687 -1
"23" -0.79387558 1.2394152 -1
"24" -0.55041674 0.236034 1
"25" 1.2716712 0.49552617 -1
"26" -0.69801932 -0.72571163 1
"27" 0.28354965 1.8606881 -1
"28" 0.74022848 1.5349316 1
"29" -0.23604452 1.4386005 -1
"30" 0.66669581 -1.0110696 1
"31" -0.6602351 -0.070822087 1
"32" 0.15015647 -0.25598568 1
"33" 0.99413829 0.073436815 -1
"34" 1.0070954 0.86477165 -1
"35" 1.9266159 -0.84231887 -1
"36" -0.46985322 -1.1212673 -1
"37" -0.45187411 0.52422194 1
"38" 1.3139693 0.11775503 -1
"39" -0.9411911 0.9759726 -1
"40" 0.38029326 -1.3477244 -1
"41" -0.63048077 0.94882377 -1
"42" -0.66499037 -1.0388092 -1
"43" -1.7325025 -1.3221635 1
"44" -0.076953996 1.8688241 1
"45" -1.4658071 -0.035837283 1
"46" -0.2328567 0.59307609 1
"47" 0.94249941 1.8874103 1
"48" 1.5606108 -0.17692354 -1
"49" -0.77856658 -1.2011312 -1
"50" -0.40516044 -1.2530135 -1
"51" -1.8809682 -1.2606492 1
"52" 0.6782718 0.96093724 -1
"53" 0.83893968 -1.1518221 1
"54" -1.0376892 0.98382921 -1
"55" 1.3605097 -0.42544956 -1
"56" 0.37832021 0.98668673 -1
"57" -1.0219117 -1.1801563 -1
"58" -0.80619774 0.9412136 -1
"59" -0.66846866 -1.1329102 -1
"60" -1.6678887 1.1025763 -1
"61" 0.77667703 0.31239868 -1
"62" 0.90467665 -0.99400435 1
"63" -0.1019196 -1.3064309 -1
"64" 1.3903524 -0.21839927 -1
"65" 1.1471283 -1.0081168 1
"66" 0.78363793 1.3879982 -1
"67" 1.4040695 0.37726459 -1
"68" -0.47945419 0.9102807 -1
"69" -0.65240845 1.1399406 -1
"70" 1.0081601 0.82916067 -1
"71" 1.2267011 -0.49320889 -1
"72" 1.2094013 1.281082 -1
"73" -0.56736341 -1.144328 -1
"74" -0.39419534 1.6035518 -1
"75" -0.49112841 -0.42922889 1
"76" -1.6429325 0.14296727 1
"77" -0.13567972 -1.4147773 -1
"78" -0.64253761 1.6846096 -1
"79" 0.6274196 0.23434893 -1
"80" -2.2843001 -1.0189387 1
"81" 1.1633817 -0.7682682 1
"82" 0.1683935 -1.0627406 -1
"83" -0.97382161 0.51107412 1
"84" -0.264029 0.057053011 1
"85" -0.37624358 1.3327806 -1
"86" -0.99249411 -0.015574624 1
"87" 1.7058232 0.56881317 -1
"88" 1.1703292 0.426426 -1
"89" 1.114787 0.42773733 -1
"90" -1.0589986 1.4890367 -1
"91" -0.25456778 -0.14199165 1
"92" 1.5197813 0.31538668 -1
"93" 0.19118447 1.93909 -1
"94" -0.90442162 0.95288994 -1
"95" -0.94602431 1.0165137 -1
"96" -2.0014125 0.40346256 -1
"97" -0.50602743 -1.2042959 -1
"98" 2.1632119 1.1594654 1
"99" -0.019156122 -1.0331011 -1
"100" 0.15161554 1.5321037 -1
"101" -1.7537961 -1.6277624 1
"102" -0.98358899 1.0268157 -1
"103" 0.26798568 -1.0838809 1
"104" 1.6264596 -0.25108017 -1
"105" -0.67608332 0.79665326 -1
"106" -1.8112647 -1.2111572 1
"107" -1.6514951 -0.73067487 1
"108" -0.27400155 0.48912159 1
"109" 0.95266693 -1.2980808 1
"110" 0.2714156 0.38023669 1
"111" 0.32927481 0.60596196 -1
"112" 0.62448759 -0.28490229 1
"113" -0.6603747 1.4088247 -1
"114" -0.32934017 -0.95485403 -1
"115" 0.97956391 -0.043939977 1
"116" 0.40237959 -0.39023701 1
"117" 0.45670702 0.19135809 1
"118" -0.37905042 -1.5993821 -1
"119" 1.1905218 -1.6729526 1
"120" -0.81717583 -1.1856673 -1
"121" 2.0333319 -0.42684694 -1
"122" 0.38516982 -0.74425952 -1
"123" -0.29212579 -0.22408593 1
"124" -2.1093121 0.19263531 -1
"125" 1.2271752 -0.14605132 1
"126" 1.226815 -2.1991384 1
"127" 0.87491721 1.8188184 1
"128" -1.0088332 0.35660421 1
"129" -0.16236789 1.8375323 -1
"130" -0.3791571 0.63821792 1
"131" 0.41518631 1.7975656 -1
"132" -2.0501727 -1.9266016 1
"133" -0.10155802 1.5735204 1
"134" -1.1384918 1.0817143 -1
"135" 0.088548267 -1.2211847 -1
"136" -0.4502639 -1.5893719 -1
"137" 0.73703791 -0.18313105 1
"138" -0.9745566 -0.18242125 1
"139" -1.1753281 0.69239786 -1
"140" -0.89924829 -1.377159 -1
"141" 1.0390723 -1.1310604 1
"142" 1.4742261 -1.4437696 1
"143" 1.4435971 0.094570107 -1
"144" -0.46086669 -1.0736494 -1
"145" -0.87589475 0.92042453 -1
"146" -1.0136692 -0.36316483 1
"147" -0.16656803 1.0689834 -1
"148" -0.54631763 0.44228409 1
"149" -0.63433351 -1.1454018 -1
"150" 0.5763919 -0.66511406 1
"151" -0.77962119 -1.5155512 -1
"152" -0.88028053 0.40666957 1
"153" -0.99125688 0.11407904 1
"154" 0.015960141 -1.1321959 -1
"155" -0.25959567 1.3635373 -1
"156" -0.51820212 -0.9142646 -1
"157" 0.46895895 1.9086786 -1
"158" 1.634711 -2.1571567 1
"159" 0.4038232 0.0099854675 1
"160" 0.26037434 -0.54012122 1
"161" -1.1775536 0.86164466 -1
"162" -1.3062488 0.11752717 1
"163" 0.33472796 1.954041 -1
"164" 1.8677342 -1.1578989 -1
"165" -0.38636728 1.5025221 -1
"166" -1.2436657 0.099979731 1
"167" 1.1936778 0.55415915 -1
"168" 0.32053014 0.39347115 1
"169" -0.017179738 -1.0336138 -1
"170" 1.774081 0.23946569 -1
"171" -0.48672038 -0.79742202 -1
"172" 1.1330638 -0.54111804 1
"173" 0.14335824 1.0525744 -1
"174" 1.3286848 -0.77383783 1
"175" -0.065575696 1.2422569 -1
"176" 0.98093462 0.092061871 -1
"177" 0.93393046 0.2576814 1
"178" 1.6174659 -0.91923262 -1
"179" -0.17282372 1.5942389 -1
"180" -1.4265015 1.2451127 -1
"181" 0.94145181 -0.25390459 1
"182" 0.54422996 1.4105264 -1
"183" -0.26022863 -1.233718 -1
"184" -0.32758408 0.23158369 1
"185" -0.21093689 -0.49161562 1
"186" 1.5201655 0.40935224 -1
"187" 0.45760189 -0.15710543 1
"188" 0.28697027 -1.4476328 -1
"189" -0.49854135 -0.76608587 -1
"190" 0.5924717 0.97314897 -1
"191" 0.13985098 -0.79996352 -1
"192" 0.4084152 0.017901182 1
"193" 0.37345494 -1.1683197 -1
"194" 0.31116516 1.7629278 -1
"195" -0.61365854 -1.2178754 -1
"196" -0.30478878 0.2470329 1
"197" -1.245955 -0.6564092 1
"198" 1.0523665 0.70051466 -1
"199" -0.1367168 -1.3929712 -1
"200" 1.0266382 1.6072379 -1
"201" 0.33268667 -0.84472338 1
"202" -1.574026 0.67878099 -1
"203" -0.34803237 0.11851696 1
"204" 0.020979357 -0.90487136 -1
"205" 0.40109688 -1.3130939 -1
"206" -1.9403297 -1.609542 1
"207" -0.97445012 -1.4334337 -1
"208" -0.81576461 0.56218928 -1
"209" -0.79115983 -1.2550146 -1
"210" -0.51354782 -1.0718939 -1
"211" -1.6207868 0.10213521 -1
"212" 0.95184974 -0.78209318 1
"213" -0.82579829 -1.6739803 -1
"214" -0.1831628 1.1455403 -1
"215" -0.66961387 1.2186367 -1
"216" -1.0147343 -1.6494194 -1
"217" -0.74005029 -1.5252106 -1
"218" 1.0909409 1.2126867 -1
"219" 0.99610706 0.22469482 -1
"220" 0.9975923 0.3701896 -1
"221" 1.5743538 -0.090800964 -1
"222" -0.5357525 1.0475619 -1
"223" -0.5496635 -1.0710863 -1
"224" 2.373848 1.0733991 1
"225" 0.39558853 -0.60610734 1
"226" -1.4635664 0.59361713 -1
"227" -1.6231847 1.0244397 -1
"228" 0.3959935 1.8081089 1
"229" -1.3997713 0.47497941 -1
"230" 0.90796637 -0.5057157 1
"231" -0.17898249 0.18969854 1
"232" -0.99418718 0.19152499 1
"233" -0.81415839 0.22988344 1
"234" -0.50838605 -0.71471127 1
"235" 0.1080408 -0.30421255 1
"236" 0.78540433 0.048122552 1
"237" -0.20912486 -0.35570339 1
"238" 0.38715908 1.5896618 1
"239" -1.1457173 -0.56170377 1
"240" 0.52702702 -1.1275803 -1
"241" 0.60846995 0.013450021 1
"242" -0.21016541 1.3478322 -1
"243" -0.85076043 -1.2623168 -1
"244" -0.45478973 -1.2976296 -1
"245" -0.49943094 -1.3118419 -1
"246" 0.42261742 1.7370392 -1
"247" -0.78319531 0.93128779 -1
"248" -0.23900509 -0.84782003 -1
"249" 0.34423975 0.90756424 -1
"250" -1.4103714 -0.85583491 1
"251" -0.63358284 1.2138744 -1
"252" -0.61216074 -1.4175684 -1
"253" -0.49655014 1.0666948 -1
"254" -0.83205575 -1.3277694 -1
"255" 0.22990631 -1.150733 -1
"256" -0.10501309 -0.44245311 1
"257" -0.43960091 0.29834918 1
"258" -0.069192654 1.728369 1
"259" 1.2627313 -0.25042869 -1
"260" -0.44591169 -1.2755728 -1
"261" 1.6437955 -0.1517858 -1
"262" -0.42164136 -0.24089763 1
"263" -1.6375939 -1.9115868 1
"264" 1.385655 -0.49794151 -1
"265" 0.77353012 0.61673661 -1
"266" 0.38659461 1.7147324 -1
"267" -0.093620394 -1.2769701 -1
"268" 1.2446633 1.4536024 1
"269" 0.38790892 1.6365126 -1
"270" 0.54368181 1.2212721 -1
"271" 1.6613804 1.4178039 1
"272" -1.0740233 -0.30597174 1
"273" -0.34059818 1.5475816 -1
"274" 2.2246645 1.179182 1
"275" 0.85433642 -0.53748062 1
"276" 0.84162814 -1.4054943 1
"277" 0.77022179 1.397783 -1
"278" 0.87419121 -1.4104707 1
"279" 0.57778856 -0.6219213 1
"280" 1.1156804 1.0072963 -1
"281" 0.089297464 -1.0994917 -1
"282" -1.1789616 0.73222858 -1
"283" 0.2638082 -0.60494185 1
"284" -0.15624249 -1.163579 -1
"285" 0.5647467 1.5601187 1
"286" -0.14858762 -0.018477562 1
"287" 1.0197211 0.99686807 -1
"288" -0.24342365 1.7591082 1
"289" 0.91893698 0.79752745 -1
"290" 0.7819853 1.7971186 -1
"291" 1.0375323 0.77898604 -1
"292" 0.24404625 -0.69023358 1
"293" -1.1584371 0.38121329 -1
"294" -0.26351065 -0.76838063 1
"295" -1.3319151 0.71888182 -1
"296" -0.76965835 0.36425101 1
"297" -1.8391109 -0.28378258 1
"298" 0.28077105 0.34345516 1
"299" 0.24424543 1.8366345 1
"300" -0.51568065 -0.91950395 1
"301" -1.6608976 -0.79198187 1
"302" -0.36428499 1.7012241 1
"303" -1.8422255 -1.2294403 1
"304" -0.030515084 -1.0939603 -1
"305" -1.7892921 -0.12403968 1
"306" -0.66820183 0.91928298 -1
"307" -0.44541039 -1.2365853 -1
"308" 0.55264443 -0.17220217 1
"309" -1.5219839 0.93353135 -1
"310" -0.66524807 0.3570832 1
"311" -0.42182124 -0.24074847 1
"312" -0.82775445 -0.82041911 -1
"313" 0.18798189 1.5871395 1
"314" 1.0941694 -0.64317056 1
"315" 1.5149081 -0.35509548 -1
"316" 1.0301434 -1.1228514 1
"317" 0.23449544 0.95821595 -1
"318" 2.3400089 -1.2545579 -1
"319" 0.19243617 1.9448233 1
"320" -0.67233262 -0.041436769 1
"321" 0.67966708 0.70244034 -1
"322" -0.47745602 -1.2453198 -1
"323" 0.66116007 -0.19896742 1
"324" 0.44764637 0.70991282 -1
"325" -0.99463496 -0.83230636 -1
"326" -1.2432612 -0.35175978 1
"327" -1.3173758 0.039893508 1
"328" -0.59543724 1.0909335 -1
"329" 0.86641184 -0.91749692 1
"330" -0.75479778 -1.0937533 -1
"331" 0.27491187 1.1765061 -1
"332" -1.432871 -1.1822877 1
"333" 1.7449007 -0.14261 -1
"334" -0.76035545 -0.86172141 -1
"335" 0.60422451 0.55504345 -1
"336" 1.5426568 1.2441885 1
"337" 0.94890195 0.42237674 -1
"338" -1.6982972 -1.79031 1
"339" -1.7335075 0.5622169 -1
"340" 0.99329223 0.39668097 1
"341" -0.71365565 -0.16085539 1
"342" 0.30061551 2.0131755 -1
"343" -1.1392148 -0.49421583 1
"344" -1.2081759 -0.40900789 1
"345" 0.25205636 0.25832135 1
"346" -0.43632842 0.82062683 1
"347" -0.87657605 -1.0813918 -1
"348" -0.98758189 -0.19052135 1
"349" -1.8209538 0.47392419 -1
"350" 0.97540167 -1.3443602 1
"351" 0.84183342 -0.37182702 1
"352" -0.27416682 -0.98994835 -1
"353" 0.34134976 -1.321404 -1
"354" -0.0062114849 1.5595574 -1
"355" -1.2393136 0.78797676 -1
"356" 0.38769294 1.7176567 -1
"357" 0.76231911 -0.33359188 1
"358" -0.33689964 1.6599271 -1
"359" -0.45475985 0.86823167 -1
"360" 0.53480581 1.3991939 -1
"361" 0.27320625 1.6751933 -1
"362" 0.13302859 2.042019 1
"363" 1.3050477 -1.4006363 1
"364" -1.4319955 -1.0235204 1
"365" -0.23112592 -0.74980118 -1
"366" 1.2184984 -0.36142971 1
"367" -1.1257336 0.19348055 1
"368" 0.44404079 1.1436569 -1
"369" 0.70829934 0.96107588 -1
"370" 1.0398728 0.09093081 1
"371" 0.95725029 -0.57214969 1
"372" 0.4492102 0.64771845 -1
"373" 1.2614637 -1.3741686 1
"374" -1.0240329 -1.0111861 -1
"375" 0.028519 1.721494 1
"376" -0.5093125 -0.93218725 -1
"377" -1.2231105 0.083577928 1
"378" 0.89639363 -1.2730643 1
"379" -0.20401452 -1.543048 -1
"380" -0.3534627 -0.83568603 -1
"381" -0.92100659 0.89383377 1
"382" -1.1697239 -0.07303112 1
"383" 1.2978894 1.0411319 -1
"384" -0.20321733 -1.0771185 -1
"385" 1.2564032 -2.3859373 1
"386" -0.33555916 0.18229981 1
"387" -0.88535614 1.0539477 -1
"388" 0.69484639 0.65135526 -1
"389" 0.09836692 0.62857462 1
"390" 0.38786801 0.86327441 -1
"391" 0.35533434 2.0774953 -1
"392" 1.1409868 -0.28598446 1
"393" 0.58892435 0.55726133 1
"394" -1.4730807 0.52034578 -1
"395" -0.91065237 -0.9078247 -1
"396" 0.65854826 1.2822444 -1
"397" 0.56944413 1.6177067 1
"398" -0.95681089 0.84799315 1
"399" -0.3341837 0.18012866 1
"400" -0.21293209 0.25883298 1
